model,comparison,image_key,excluded_stage,reason
surya,run_1_to_run_2,val/10/350/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/23,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/24,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/350/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/23,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/24,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/386/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/2,run_1,missing run_1 record
