model,comparison,baseline_stage,candidate_stage,page_key,paired_words,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
surya,raw_to_run_2,raw,run_2,test_9_249,24,0.7276995305164319,0.7699530516431925,0.04225352112676062,1.0,1.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.625,0.041666666666666664,454.83731633600473,257.64173938399927,-197.19557695200547
surya,raw_to_run_2,raw,run_2,test_9_252,25,0.6883116883116883,0.7445887445887446,0.05627705627705626,0.96,0.96,0.0,0.0,0.0,0.0,0.4,0.48,0.08,495.29253228200105,292.68094362100237,-202.61158866099868
surya,raw_to_run_2,raw,run_2,test_9_393,24,0.7850877192982456,0.7017543859649122,-0.08333333333333337,1.0,1.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.4583333333333333,-0.08333333333333333,487.1093180360076,332.23554671499915,-154.87377132100846
surya,raw_to_run_2,raw,run_2,test_9_53,24,0.6666666666666666,0.6883116883116883,0.02164502164502169,1.0,1.25,0.25,0.0,0.0,0.0,0.5,0.25,-0.25,485.4894494770124,272.0860965359998,-213.4033529410126
surya,raw_to_run_2,raw,run_2,test_9_65,26,0.7280334728033473,0.6652719665271967,-0.06276150627615062,1.0,1.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,0.0,504.53040263402727,291.55947305300197,-212.9709295810253
surya,raw_to_run_2,raw,run_2,test_9_91,25,0.6277056277056277,0.7792207792207793,0.1515151515151516,0.92,1.4,0.47999999999999987,0.0,0.0,0.0,0.44,0.52,0.08,487.44100614400304,319.2050158989996,-168.23599024500345
tesseract,raw_to_run_1,raw,run_1,test_12_113,25,0.7489711934156379,0.691358024691358,-0.057613168724279906,1.0,1.32,0.32000000000000006,0.0,0.0,0.0,0.56,0.24,-0.32,22.898422568003298,16.93473994701344,-5.963682620989857
tesseract,raw_to_run_1,raw,run_1,test_12_125,23,0.7704918032786885,0.7090163934426229,-0.061475409836065587,0.9565217391304348,1.0,0.04347826086956519,0.0,0.0,0.0,0.6521739130434783,0.4782608695652174,-0.17391304347826086,21.799407734972192,13.81959634400846,-7.979811390963732
tesseract,raw_to_run_1,raw,run_1,test_12_131,25,0.7649572649572649,0.7606837606837606,-0.004273504273504258,1.0,1.2,0.19999999999999996,0.0,0.0,0.0,0.48,0.4,-0.08,22.558283678998123,14.839760191956884,-7.718523487041239
tesseract,raw_to_run_1,raw,run_1,test_12_165,20,0.7623762376237624,0.7326732673267327,-0.02970297029702973,1.0,1.2,0.19999999999999996,0.0,0.0,0.0,0.55,0.4,-0.15,19.56471602799138,14.503300808020867,-5.061415219970513
