configuration,reference_character,hypothesis_character,count
surya/processed,ప,న,3
surya/processed,ు,న,3
surya/processed,ర,్,3
surya/processed,వ,్,3
surya/processed,త,క,3
surya/processed,్,ీ,3
surya/processed,్,డ,3
surya/processed,ో, ,3
surya/processed,ర,న,3
surya/processed,స,గ,3
surya/processed,డ,ల,3
surya/processed,శ,స,3
surya/processed,వ,ఎ,3
surya/processed,ె,ే,3
surya/processed,మ,ి,3
surya/processed,ూ,్,3
surya/processed,న,త,3
surya/processed,్,క,3
surya/processed,య,ు,3
surya/processed,త,డ,3
surya/processed,ే,‍,3
tesseract/raw,ల,ర,3
tesseract/raw,ా,ల,3
tesseract/raw,ి,ొ,3
tesseract/raw,క,ే,3
tesseract/raw,ి,‌,3
tesseract/raw,ర,ట,3
tesseract/raw,్,ు,3
tesseract/raw,న,గ,3
tesseract/raw,య, ,3
tesseract/raw,క,ల,3
tesseract/raw,ీ,ి,3
tesseract/raw,మ,య,3
tesseract/raw,ణ,ా,3
tesseract/raw,ద,డ,3
tesseract/raw,్,ే,3
tesseract/raw,ు,య,3
tesseract/raw,వ,్,3
tesseract/raw,్,ో,3
tesseract/raw,ర,ీ,3
tesseract/raw,ి,న,3
tesseract/raw,ి,ర,3
tesseract/raw,్,‌,3
tesseract/raw,య,ు,3
tesseract/raw,చ,ర,3
tesseract/processed,ల,ో,3
tesseract/processed,ర,గ,3
tesseract/processed,చ,న,3
tesseract/processed,క,గ,3
tesseract/processed,ే,వ,3
tesseract/processed,వ,్,3
tesseract/processed,ే,‌,3
tesseract/processed,ల,ద,3
tesseract/processed,ద,య,3
tesseract/processed,ొ,ో,3
tesseract/processed,త,ే,3
tesseract/processed,ి,అ,3
tesseract/processed,ణ,ర,3
tesseract/processed,్,డ,3
tesseract/processed,త,్,3
tesseract/processed,ం,ల,3
tesseract/processed,మ,వ,3
tesseract/processed,గ, ,3
tesseract/processed,ా,ద,3
tesseract/processed,జ,్,3
tesseract/processed,ా,ు,3
tesseract/processed,క,ా,3
tesseract/processed,ధ,థ,3
tesseract/processed,న,‌,3
tesseract/processed,త,వ,3
tesseract/processed,ా,ి,3
tesseract/processed,ట,ల,3
tesseract/processed,్,ి,3
tesseract/processed,వ,ం,3
tesseract/processed,చ,గ,3
tesseract/processed,ు,ప,3
tesseract/processed,ీ, ,3
tesseract/processed,మ,ర,3
tesseract/processed,ల,ా,3
tesseract/processed,త,ం,3
tesseract/processed,డ,ే,3
tesseract/processed,ే,ీ,3
tesseract/processed,ం,్,3
tesseract/processed,్,గ,3
tesseract/processed,ద,న,3
tesseract/processed,ా,హ,3
tesseract/processed,ి,౦,3
tesseract/processed,అ,ట,3
tesseract/processed,ీ,ర,3
tesseract/processed,ల,బ,3
tesseract/processed,ు,అ,3
tesseract/processed,ప,గ,3
tesseract/processed,ష, ,3
tesseract/processed,ీ,ో,3
tesseract/processed,డ,ీ,3
tesseract/processed,త,య,3
tesseract/processed,వ,ీ,3
tesseract/processed,క,చ,3
tesseract/processed,ద,ణ,3
tesseract/processed,ి,ద,3
tesseract/processed,్,ట,3
tesseract/processed,డ, ,3
tesseract/processed,ి,ూ,3
tesseract/processed,ల,స,3
tesseract/processed,ట,బ,3
tesseract/processed,ా,డ,3
tesseract/processed,ట,్,3
tesseract/processed,ర,ొ,3
tesseract/processed,ీ,ా,3
tesseract/processed,ు,ి,3
tesseract/processed,య,‌,3
tesseract/processed,న,ద,3
tesseract/processed,డ,్,3
tesseract/processed,న,చ,3
tesseract/processed,మ,బ,3
tesseract/processed,్,ం,3
tesseract/processed,య,ం,3
tesseract/processed,బ,ు,3
tesseract/processed,ట,క,3
tesseract/processed,ర,ు,3
tesseract/processed,అ,ఆ,3
tesseract/processed,మ,ం,3
surya/raw,గ,శ,2
surya/raw,ొ,్,2
surya/raw,న,ర,2
surya/raw,ి,త,2
surya/raw,ి,ర,2
surya/raw,చ,య,2
surya/raw,క,మ,2
surya/raw,ి,న,2
surya/raw,ా,త,2
surya/raw,ె,ే,2
surya/raw,వ,త,2
surya/raw,ా,ూ,2
surya/raw,శ,న,2
surya/raw,్,ప,2
surya/raw,ి,ధ,2
surya/raw,వ,బ,2
surya/raw,ొ,ా,2
surya/raw,ే,ె,2
surya/raw,ప,ు,2
surya/raw,క,న,2
surya/raw,మ,ి,2
surya/raw,ె,ి,2
surya/raw,ి,బ,2
surya/raw,ా,ు,2
surya/raw,ప,ర,2
surya/raw,ద,చ,2
surya/raw,ణ, ,2
surya/raw,ి,ల,2
surya/raw,గ,ా,2
surya/raw,ి,స,2
surya/raw,ప,ి,2
surya/raw,క,ే,2
surya/raw,ో,్,2
surya/raw,ు,‌,2
surya/raw,ు,‍,2
surya/raw,మ,ప,2
surya/raw,త,ీ,2
surya/raw,ే, ,2
surya/raw,ో,‌,2
surya/raw,ఉ,ద,2
surya/raw,ీ,‌,2
surya/raw,ట,ర,2
surya/raw,త,న,2
surya/raw,్,‌,2
surya/raw,న,మ,2
surya/raw,చ,ా,2
surya/raw,త,ి,2
surya/raw,గ,న,2
surya/raw,చ,న,2
surya/raw,ే,ా,2
surya/raw,స,మ,2
surya/raw,ద,త,2
surya/raw,ు,ట,2
surya/raw,ో,ు,2
surya/raw,చ,ర,2
surya/raw,న,ా,2
surya/raw,య,ో,2
surya/raw,య,ి,2
surya/raw,ం,ర,2
surya/raw,ం,్,2
surya/raw,చ,డ,2
surya/raw,ె,ల,2
surya/raw,్,ట,2
surya/raw,య,ర,2
surya/raw,డ,ర,2
surya/raw,ా,ౌ,2
surya/raw,త,ట,2
surya/raw,ీ,ా,2
surya/raw,ు,ల,2
surya/raw,య,వ,2
surya/raw,ర,శ,2
surya/raw,య,ట,2
surya/raw,ర,స,2
surya/raw,స,ర,2
surya/raw,క,ో,2
surya/raw,ా,ద,2
surya/raw,య,న,2
surya/raw,య,ప,2
surya/raw,ు,ం,2
surya/raw,్,ు,2
surya/raw,ర,ు,2
surya/raw,ు,జ,2
surya/raw,ె,ర,2
surya/raw,ొ,ౌ,2
surya/raw,ీ,ి,2
surya/raw,డ,బ,2
surya/raw,ద,మ,2
surya/raw,్,య,2
surya/raw,ప,స,2
surya/raw,శ,గ,2
surya/raw,ద,స,2
surya/raw,్,ీ,2
surya/raw,వ,హ,2
surya/raw,ద,వ,2
surya/raw,ఘ,మ,2
surya/raw,ర,ల,2
surya/raw,్,క,2
surya/raw,న,త,2
surya/processed,్,ూ,2
surya/processed,్,ో,2
surya/processed,చ,ల,2
surya/processed,ల,త,2
surya/processed,న,ో,2
surya/processed,వ,డ,2
surya/processed,ద,మ,2
surya/processed,క,హ,2
surya/processed,చ,్,2
surya/processed,బ,ా,2
surya/processed,ో,‌,2
